time,day_of_week,event type,date
,Tuesday,no football game,2019-01-01
,Wednesday,no football game,2019-01-02
,Thursday,no football game,2019-01-03
,Friday,no football game,2019-01-04
,Saturday,no football game,2019-01-05
,Sunday,no football game,2019-01-06
,Monday,no football game,2019-01-07
,Tuesday,no football game,2019-01-08
,Wednesday,no football game,2019-01-09
,Thursday,no football game,2019-01-10
,Friday,no football game,2019-01-11
,Saturday,no football game,2019-01-12
,Sunday,no football game,2019-01-13
,Monday,no football game,2019-01-14
,Tuesday,no football game,2019-01-15
,Wednesday,no football game,2019-01-16
,Thursday,no football game,2019-01-17
,Friday,no football game,2019-01-18
,Saturday,no football game,2019-01-19
,Sunday,no football game,2019-01-20
,Monday,no football game,2019-01-21
,Tuesday,no football game,2019-01-22
,Wednesday,no football game,2019-01-23
,Thursday,no football game,2019-01-24
,Friday,no football game,2019-01-25
,Saturday,no football game,2019-01-26
,Sunday,no football game,2019-01-27
,Monday,no football game,2019-01-28
,Tuesday,no football game,2019-01-29
,Wednesday,no football game,2019-01-30
,Thursday,no football game,2019-01-31
,Friday,no football game,2019-02-01
,Saturday,no football game,2019-02-02
,Sunday,no football game,2019-02-03
,Monday,no football game,2019-02-04
,Tuesday,no football game,2019-02-05
,Wednesday,no football game,2019-02-06
,Thursday,no football game,2019-02-07
,Friday,no football game,2019-02-08
,Saturday,no football game,2019-02-09
,Sunday,no football game,2019-02-10
,Monday,no football game,2019-02-11
,Tuesday,no football game,2019-02-12
,Wednesday,no football game,2019-02-13
,Thursday,no football game,2019-02-14
,Friday,no football game,2019-02-15
,Saturday,no football game,2019-02-16
,Sunday,no football game,2019-02-17
,Monday,no football game,2019-02-18
,Tuesday,no football game,2019-02-19
,Wednesday,no football game,2019-02-20
,Thursday,no football game,2019-02-21
,Friday,no football game,2019-02-22
,Saturday,no football game,2019-02-23
,Sunday,no football game,2019-02-24
,Monday,no football game,2019-02-25
,Tuesday,no football game,2019-02-26
,Wednesday,no football game,2019-02-27
,Thursday,no football game,2019-02-28
,Friday,no football game,2019-03-01
,Saturday,no football game,2019-03-02
,Sunday,no football game,2019-03-03
,Monday,no football game,2019-03-04
,Tuesday,no football game,2019-03-05
,Wednesday,no football game,2019-03-06
,Thursday,no football game,2019-03-07
,Friday,no football game,2019-03-08
,Saturday,no football game,2019-03-09
,Sunday,no football game,2019-03-10
,Monday,no football game,2019-03-11
,Tuesday,no football game,2019-03-12
,Wednesday,no football game,2019-03-13
,Thursday,no football game,2019-03-14
,Friday,no football game,2019-03-15
,Saturday,no football game,2019-03-16
,Sunday,no football game,2019-03-17
,Monday,no football game,2019-03-18
,Tuesday,no football game,2019-03-19
,Wednesday,no football game,2019-03-20
,Thursday,no football game,2019-03-21
,Friday,no football game,2019-03-22
,Saturday,no football game,2019-03-23
,Sunday,no football game,2019-03-24
,Monday,no football game,2019-03-25
,Tuesday,no football game,2019-03-26
,Wednesday,no football game,2019-03-27
,Thursday,no football game,2019-03-28
,Friday,no football game,2019-03-29
,Saturday,no football game,2019-03-30
,Sunday,no football game,2019-03-31
,Monday,no football game,2019-04-01
,Tuesday,no football game,2019-04-02
,Wednesday,no football game,2019-04-03
,Thursday,no football game,2019-04-04
,Friday,no football game,2019-04-05
,Saturday,no football game,2019-04-06
,Sunday,no football game,2019-04-07
,Monday,no football game,2019-04-08
,Tuesday,no football game,2019-04-09
,Wednesday,no football game,2019-04-10
,Thursday,no football game,2019-04-11
,Friday,no football game,2019-04-12
,Saturday,no football game,2019-04-13
,Sunday,no football game,2019-04-14
,Monday,no football game,2019-04-15
,Tuesday,no football game,2019-04-16
,Wednesday,no football game,2019-04-17
,Thursday,no football game,2019-04-18
,Friday,no football game,2019-04-19
,Saturday,no football game,2019-04-20
,Sunday,no football game,2019-04-21
,Monday,no football game,2019-04-22
,Tuesday,no football game,2019-04-23
,Wednesday,no football game,2019-04-24
,Thursday,no football game,2019-04-25
,Friday,no football game,2019-04-26
,Saturday,no football game,2019-04-27
,Sunday,no football game,2019-04-28
,Monday,no football game,2019-04-29
,Tuesday,no football game,2019-04-30
,Wednesday,no football game,2019-05-01
,Thursday,no football game,2019-05-02
,Friday,no football game,2019-05-03
,Saturday,no football game,2019-05-04
,Sunday,no football game,2019-05-05
,Monday,no football game,2019-05-06
,Tuesday,no football game,2019-05-07
,Wednesday,no football game,2019-05-08
,Thursday,no football game,2019-05-09
,Friday,no football game,2019-05-10
,Saturday,no football game,2019-05-11
,Sunday,no football game,2019-05-12
,Monday,no football game,2019-05-13
,Tuesday,no football game,2019-05-14
,Wednesday,no football game,2019-05-15
,Thursday,no football game,2019-05-16
,Friday,no football game,2019-05-17
,Saturday,no football game,2019-05-18
,Sunday,no football game,2019-05-19
,Monday,no football game,2019-05-20
,Tuesday,no football game,2019-05-21
,Wednesday,no football game,2019-05-22
,Thursday,no football game,2019-05-23
,Friday,no football game,2019-05-24
,Saturday,no football game,2019-05-25
,Sunday,no football game,2019-05-26
,Monday,no football game,2019-05-27
,Tuesday,no football game,2019-05-28
,Wednesday,no football game,2019-05-29
,Thursday,no football game,2019-05-30
,Friday,no football game,2019-05-31
,Saturday,no football game,2019-06-01
,Sunday,no football game,2019-06-02
,Monday,no football game,2019-06-03
,Tuesday,no football game,2019-06-04
,Wednesday,no football game,2019-06-05
,Thursday,no football game,2019-06-06
,Friday,no football game,2019-06-07
,Saturday,no football game,2019-06-08
,Sunday,no football game,2019-06-09
,Monday,no football game,2019-06-10
,Tuesday,no football game,2019-06-11
,Wednesday,no football game,2019-06-12
,Thursday,no football game,2019-06-13
,Friday,no football game,2019-06-14
,Saturday,no football game,2019-06-15
,Sunday,no football game,2019-06-16
,Monday,no football game,2019-06-17
,Tuesday,no football game,2019-06-18
,Wednesday,no football game,2019-06-19
,Thursday,no football game,2019-06-20
,Friday,no football game,2019-06-21
,Saturday,no football game,2019-06-22
,Sunday,no football game,2019-06-23
,Monday,no football game,2019-06-24
,Tuesday,no football game,2019-06-25
,Wednesday,no football game,2019-06-26
,Thursday,no football game,2019-06-27
,Friday,no football game,2019-06-28
,Saturday,no football game,2019-06-29
,Sunday,no football game,2019-06-30
,Monday,no football game,2019-07-01
,Tuesday,no football game,2019-07-02
,Wednesday,no football game,2019-07-03
,Thursday,no football game,2019-07-04
,Friday,no football game,2019-07-05
,Saturday,no football game,2019-07-06
,Sunday,no football game,2019-07-07
,Monday,no football game,2019-07-08
,Tuesday,no football game,2019-07-09
,Wednesday,no football game,2019-07-10
,Thursday,no football game,2019-07-11
,Friday,no football game,2019-07-12
,Saturday,no football game,2019-07-13
,Sunday,no football game,2019-07-14
,Monday,no football game,2019-07-15
,Tuesday,no football game,2019-07-16
,Wednesday,no football game,2019-07-17
,Thursday,no football game,2019-07-18
,Friday,no football game,2019-07-19
,Saturday,no football game,2019-07-20
,Sunday,no football game,2019-07-21
,Monday,no football game,2019-07-22
,Tuesday,no football game,2019-07-23
,Wednesday,no football game,2019-07-24
,Thursday,no football game,2019-07-25
,Friday,no football game,2019-07-26
,Saturday,no football game,2019-07-27
,Sunday,no football game,2019-07-28
,Monday,no football game,2019-07-29
,Tuesday,no football game,2019-07-30
,Wednesday,no football game,2019-07-31
,Thursday,no football game,2019-08-01
,Friday,no football game,2019-08-02
,Saturday,no football game,2019-08-03
,Sunday,no football game,2019-08-04
,Monday,no football game,2019-08-05
,Tuesday,no football game,2019-08-06
,Wednesday,no football game,2019-08-07
,Thursday,no football game,2019-08-08
,Friday,no football game,2019-08-09
,Saturday,no football game,2019-08-10
,Sunday,no football game,2019-08-11
,Monday,no football game,2019-08-12
,Tuesday,no football game,2019-08-13
,Wednesday,no football game,2019-08-14
,Thursday,no football game,2019-08-15
,Friday,no football game,2019-08-16
,Saturday,no football game,2019-08-17
,Sunday,no football game,2019-08-18
,Monday,no football game,2019-08-19
,Tuesday,no football game,2019-08-20
,Wednesday,no football game,2019-08-21
,Thursday,no football game,2019-08-22
,Friday,no football game,2019-08-23
,Saturday,no football game,2019-08-24
,Sunday,no football game,2019-08-25
,Monday,no football game,2019-08-26
,Tuesday,no football game,2019-08-27
,Wednesday,no football game,2019-08-28
,Thursday,no football game,2019-08-29
,Friday,no football game,2019-08-30
12:00:00,Saturday,football game,2019-08-31
,Sunday,no football game,2019-09-01
,Monday,no football game,2019-09-02
,Tuesday,no football game,2019-09-03
,Wednesday,no football game,2019-09-04
,Thursday,no football game,2019-09-05
,Friday,no football game,2019-09-06
19:30:00,Saturday,football game,2019-09-07
,Sunday,no football game,2019-09-08
,Monday,no football game,2019-09-09
,Tuesday,no football game,2019-09-10
,Wednesday,no football game,2019-09-11
,Thursday,no football game,2019-09-12
,Friday,no football game,2019-09-13
16:30:00,Saturday,football game,2019-09-14
,Sunday,no football game,2019-09-15
,Monday,no football game,2019-09-16
,Tuesday,no football game,2019-09-17
,Wednesday,no football game,2019-09-18
,Thursday,no football game,2019-09-19
,Friday,no football game,2019-09-20
,Saturday,no football game,2019-09-21
,Sunday,no football game,2019-09-22
,Monday,no football game,2019-09-23
,Tuesday,no football game,2019-09-24
,Wednesday,no football game,2019-09-25
,Thursday,no football game,2019-09-26
,Friday,no football game,2019-09-27
12:30:00,Saturday,football game,2019-09-28
,Sunday,no football game,2019-09-29
,Monday,no football game,2019-09-30
,Tuesday,no football game,2019-10-01
,Wednesday,no football game,2019-10-02
,Thursday,no football game,2019-10-03
,Friday,no football game,2019-10-04
,Saturday,no football game,2019-10-05
,Sunday,no football game,2019-10-06
,Monday,no football game,2019-10-07
,Tuesday,no football game,2019-10-08
,Wednesday,no football game,2019-10-09
,Thursday,no football game,2019-10-10
,Friday,no football game,2019-10-11
,Saturday,no football game,2019-10-12
,Sunday,no football game,2019-10-13
,Monday,no football game,2019-10-14
,Tuesday,no football game,2019-10-15
,Wednesday,no football game,2019-10-16
,Thursday,no football game,2019-10-17
,Friday,no football game,2019-10-18
12:30:00,Saturday,football game,2019-10-19
,Sunday,no football game,2019-10-20
,Monday,no football game,2019-10-21
,Tuesday,no football game,2019-10-22
,Wednesday,no football game,2019-10-23
,Thursday,no football game,2019-10-24
,Friday,no football game,2019-10-25
,Saturday,no football game,2019-10-26
,Sunday,no football game,2019-10-27
,Monday,no football game,2019-10-28
,Tuesday,no football game,2019-10-29
,Wednesday,no football game,2019-10-30
,Thursday,no football game,2019-10-31
,Friday,no football game,2019-11-01
13:00:00,Saturday,football game,2019-11-02
,Sunday,no football game,2019-11-03
,Monday,no football game,2019-11-04
,Tuesday,no football game,2019-11-05
,Wednesday,no football game,2019-11-06
,Thursday,no football game,2019-11-07
,Friday,no football game,2019-11-08
,Saturday,no football game,2019-11-09
,Sunday,no football game,2019-11-10
,Monday,no football game,2019-11-11
,Tuesday,no football game,2019-11-12
,Wednesday,no football game,2019-11-13
,Thursday,no football game,2019-11-14
,Friday,no football game,2019-11-15
,Saturday,no football game,2019-11-16
,Sunday,no football game,2019-11-17
,Monday,no football game,2019-11-18
,Tuesday,no football game,2019-11-19
,Wednesday,no football game,2019-11-20
,Thursday,no football game,2019-11-21
,Friday,no football game,2019-11-22
,Saturday,no football game,2019-11-23
,Sunday,no football game,2019-11-24
,Monday,no football game,2019-11-25
,Tuesday,no football game,2019-11-26
,Wednesday,no football game,2019-11-27
,Thursday,no football game,2019-11-28
13:00:00,Friday,football game,2019-11-29
,Saturday,no football game,2019-11-30
,Sunday,no football game,2019-12-01
,Monday,no football game,2019-12-02
,Tuesday,no football game,2019-12-03
,Wednesday,no football game,2019-12-04
,Thursday,no football game,2019-12-05
,Friday,no football game,2019-12-06
,Saturday,no football game,2019-12-07
,Sunday,no football game,2019-12-08
,Monday,no football game,2019-12-09
,Tuesday,no football game,2019-12-10
,Wednesday,no football game,2019-12-11
,Thursday,no football game,2019-12-12
,Friday,no football game,2019-12-13
,Saturday,no football game,2019-12-14
,Sunday,no football game,2019-12-15
,Monday,no football game,2019-12-16
,Tuesday,no football game,2019-12-17
,Wednesday,no football game,2019-12-18
,Thursday,no football game,2019-12-19
,Friday,no football game,2019-12-20
,Saturday,no football game,2019-12-21
,Sunday,no football game,2019-12-22
,Monday,no football game,2019-12-23
,Tuesday,no football game,2019-12-24
,Wednesday,no football game,2019-12-25
,Thursday,no football game,2019-12-26
,Friday,no football game,2019-12-27
,Saturday,no football game,2019-12-28
,Sunday,no football game,2019-12-29
,Monday,no football game,2019-12-30
,Tuesday,no football game,2019-12-31
,Wednesday,no football game,2020-01-01
,Thursday,no football game,2020-01-02
,Friday,no football game,2020-01-03
,Saturday,no football game,2020-01-04
,Sunday,no football game,2020-01-05
,Monday,no football game,2020-01-06
,Tuesday,no football game,2020-01-07
,Wednesday,no football game,2020-01-08
,Thursday,no football game,2020-01-09
,Friday,no football game,2020-01-10
,Saturday,no football game,2020-01-11
,Sunday,no football game,2020-01-12
,Monday,no football game,2020-01-13
,Tuesday,no football game,2020-01-14
,Wednesday,no football game,2020-01-15
,Thursday,no football game,2020-01-16
,Friday,no football game,2020-01-17
,Saturday,no football game,2020-01-18
,Sunday,no football game,2020-01-19
,Monday,no football game,2020-01-20
,Tuesday,no football game,2020-01-21
,Wednesday,no football game,2020-01-22
,Thursday,no football game,2020-01-23
,Friday,no football game,2020-01-24
,Saturday,no football game,2020-01-25
,Sunday,no football game,2020-01-26
,Monday,no football game,2020-01-27
,Tuesday,no football game,2020-01-28
,Wednesday,no football game,2020-01-29
,Thursday,no football game,2020-01-30
,Friday,no football game,2020-01-31
,Saturday,no football game,2020-02-01
,Sunday,no football game,2020-02-02
,Monday,no football game,2020-02-03
,Tuesday,no football game,2020-02-04
,Wednesday,no football game,2020-02-05
,Thursday,no football game,2020-02-06
,Friday,no football game,2020-02-07
,Saturday,no football game,2020-02-08
,Sunday,no football game,2020-02-09
,Monday,no football game,2020-02-10
,Tuesday,no football game,2020-02-11
,Wednesday,no football game,2020-02-12
,Thursday,no football game,2020-02-13
,Friday,no football game,2020-02-14
,Saturday,no football game,2020-02-15
,Sunday,no football game,2020-02-16
,Monday,no football game,2020-02-17
,Tuesday,no football game,2020-02-18
,Wednesday,no football game,2020-02-19
,Thursday,no football game,2020-02-20
,Friday,no football game,2020-02-21
,Saturday,no football game,2020-02-22
,Sunday,no football game,2020-02-23
,Monday,no football game,2020-02-24
,Tuesday,no football game,2020-02-25
,Wednesday,no football game,2020-02-26
,Thursday,no football game,2020-02-27
,Friday,no football game,2020-02-28
,Saturday,no football game,2020-02-29
,Sunday,no football game,2020-03-01
,Monday,no football game,2020-03-02
,Tuesday,no football game,2020-03-03
,Wednesday,no football game,2020-03-04
,Thursday,no football game,2020-03-05
,Friday,no football game,2020-03-06
,Saturday,no football game,2020-03-07
,Sunday,no football game,2020-03-08
,Monday,no football game,2020-03-09
,Tuesday,no football game,2020-03-10
,Wednesday,no football game,2020-03-11
,Thursday,no football game,2020-03-12
,Friday,no football game,2020-03-13
,Saturday,no football game,2020-03-14
,Sunday,no football game,2020-03-15
,Monday,no football game,2020-03-16
,Tuesday,no football game,2020-03-17
,Wednesday,no football game,2020-03-18
,Thursday,no football game,2020-03-19
,Friday,no football game,2020-03-20
,Saturday,no football game,2020-03-21
,Sunday,no football game,2020-03-22
,Monday,no football game,2020-03-23
,Tuesday,no football game,2020-03-24
,Wednesday,no football game,2020-03-25
,Thursday,no football game,2020-03-26
,Friday,no football game,2020-03-27
,Saturday,no football game,2020-03-28
,Sunday,no football game,2020-03-29
,Monday,no football game,2020-03-30
,Tuesday,no football game,2020-03-31
,Wednesday,no football game,2020-04-01
,Thursday,no football game,2020-04-02
,Friday,no football game,2020-04-03
,Saturday,no football game,2020-04-04
,Sunday,no football game,2020-04-05
,Monday,no football game,2020-04-06
,Tuesday,no football game,2020-04-07
,Wednesday,no football game,2020-04-08
,Thursday,no football game,2020-04-09
,Friday,no football game,2020-04-10
,Saturday,no football game,2020-04-11
,Sunday,no football game,2020-04-12
,Monday,no football game,2020-04-13
,Tuesday,no football game,2020-04-14
,Wednesday,no football game,2020-04-15
,Thursday,no football game,2020-04-16
,Friday,no football game,2020-04-17
,Saturday,no football game,2020-04-18
,Sunday,no football game,2020-04-19
,Monday,no football game,2020-04-20
,Tuesday,no football game,2020-04-21
,Wednesday,no football game,2020-04-22
,Thursday,no football game,2020-04-23
,Friday,no football game,2020-04-24
,Saturday,no football game,2020-04-25
,Sunday,no football game,2020-04-26
,Monday,no football game,2020-04-27
,Tuesday,no football game,2020-04-28
,Wednesday,no football game,2020-04-29
,Thursday,no football game,2020-04-30
,Friday,no football game,2020-05-01
,Saturday,no football game,2020-05-02
,Sunday,no football game,2020-05-03
,Monday,no football game,2020-05-04
,Tuesday,no football game,2020-05-05
,Wednesday,no football game,2020-05-06
,Thursday,no football game,2020-05-07
,Friday,no football game,2020-05-08
,Saturday,no football game,2020-05-09
,Sunday,no football game,2020-05-10
,Monday,no football game,2020-05-11
,Tuesday,no football game,2020-05-12
,Wednesday,no football game,2020-05-13
,Thursday,no football game,2020-05-14
,Friday,no football game,2020-05-15
,Saturday,no football game,2020-05-16
,Sunday,no football game,2020-05-17
,Monday,no football game,2020-05-18
,Tuesday,no football game,2020-05-19
,Wednesday,no football game,2020-05-20
,Thursday,no football game,2020-05-21
,Friday,no football game,2020-05-22
,Saturday,no football game,2020-05-23
,Sunday,no football game,2020-05-24
,Monday,no football game,2020-05-25
,Tuesday,no football game,2020-05-26
,Wednesday,no football game,2020-05-27
,Thursday,no football game,2020-05-28
,Friday,no football game,2020-05-29
,Saturday,no football game,2020-05-30
,Sunday,no football game,2020-05-31
,Monday,no football game,2020-06-01
,Tuesday,no football game,2020-06-02
,Wednesday,no football game,2020-06-03
,Thursday,no football game,2020-06-04
,Friday,no football game,2020-06-05
,Saturday,no football game,2020-06-06
,Sunday,no football game,2020-06-07
,Monday,no football game,2020-06-08
,Tuesday,no football game,2020-06-09
,Wednesday,no football game,2020-06-10
,Thursday,no football game,2020-06-11
,Friday,no football game,2020-06-12
,Saturday,no football game,2020-06-13
,Sunday,no football game,2020-06-14
,Monday,no football game,2020-06-15
,Tuesday,no football game,2020-06-16
,Wednesday,no football game,2020-06-17
,Thursday,no football game,2020-06-18
,Friday,no football game,2020-06-19
,Saturday,no football game,2020-06-20
,Sunday,no football game,2020-06-21
,Monday,no football game,2020-06-22
,Tuesday,no football game,2020-06-23
,Wednesday,no football game,2020-06-24
,Thursday,no football game,2020-06-25
,Friday,no football game,2020-06-26
,Saturday,no football game,2020-06-27
,Sunday,no football game,2020-06-28
,Monday,no football game,2020-06-29
,Tuesday,no football game,2020-06-30
,Wednesday,no football game,2020-07-01
,Thursday,no football game,2020-07-02
,Friday,no football game,2020-07-03
,Saturday,no football game,2020-07-04
,Sunday,no football game,2020-07-05
,Monday,no football game,2020-07-06
,Tuesday,no football game,2020-07-07
,Wednesday,no football game,2020-07-08
,Thursday,no football game,2020-07-09
,Friday,no football game,2020-07-10
,Saturday,no football game,2020-07-11
,Sunday,no football game,2020-07-12
,Monday,no football game,2020-07-13
,Tuesday,no football game,2020-07-14
,Wednesday,no football game,2020-07-15
,Thursday,no football game,2020-07-16
,Friday,no football game,2020-07-17
,Saturday,no football game,2020-07-18
,Sunday,no football game,2020-07-19
,Monday,no football game,2020-07-20
,Tuesday,no football game,2020-07-21
,Wednesday,no football game,2020-07-22
,Thursday,no football game,2020-07-23
,Friday,no football game,2020-07-24
,Saturday,no football game,2020-07-25
,Sunday,no football game,2020-07-26
,Monday,no football game,2020-07-27
,Tuesday,no football game,2020-07-28
,Wednesday,no football game,2020-07-29
,Thursday,no football game,2020-07-30
,Friday,no football game,2020-07-31
,Saturday,no football game,2020-08-01
,Sunday,no football game,2020-08-02
,Monday,no football game,2020-08-03
,Tuesday,no football game,2020-08-04
,Wednesday,no football game,2020-08-05
,Thursday,no football game,2020-08-06
,Friday,no football game,2020-08-07
,Saturday,no football game,2020-08-08
,Sunday,no football game,2020-08-09
,Monday,no football game,2020-08-10
